title,directions,NER
Egg Drop Soup,"[""In saucepan slowly stir the chicken broth into cornstarch. Cook, stirring constantly, until slightly thickened."", ""Slowly pour in the well beaten egg; stir once gently."", ""Remove from heat. Garnish with sliced green onion."", ""Makes 4 servings.""]","[""cornstarch"", ""egg"", ""chicken broth"", ""green onion""]"
Mulled Cider,"[""Simmer all of the ingredients."", ""Strain into warmed mugs and top"", ""with"", ""a"", ""dash of nutmeg."", ""This recipe can be doubled many times, according to the number of guests present.""]","[""brown sugar"", ""cinnamon"", ""apple juice"", ""whole cloves"", ""allspice""]"
Sesame Ginger Chicken,"[""Combine first 4 ingredients in a small bowl, stir well and set aside."", ""Place chicken between 2 sheets of waxed paper or heavy duty plastic wrap, and flatten to 1/4-inch thickness, using meat mallet or rolling pin."", ""Coat grill rack with cooking spray; place on grill over coals."", ""Place chicken on rack and cook 4 minutes on each side, basting frequently with soy sauce mixture."", ""Transfer chicken to a serving platter and garnish with green onion, if desired."", ""Yields 4 servings, about 200 calories.""]","[""sesame seed"", ""soy sauce"", ""honey"", ""vegetable cooking spray"", ""thin green onion strips"", ""grated ginger"", ""chicken""]"
Egg Casserole,"[""Saute together first 5\tingredients."", ""In a separate 9 x 12-inch pan, mix bread, eggs"", ""and"", ""milk."", ""Put"", ""pieces of bread into"", ""pan; add your"", ""vegetables,"", ""then"", ""your"", ""eggs."", ""Place\tin refrigerator overnight (at least 8 hours).\tAdd Cheddar cheese before cooking."", ""Bake at 350\u00b0 for 1 hour.""]","[""bread"", ""green peppers"", ""eggs"", ""fresh mushrooms"", ""clove garlic"", ""vidalia onion"", ""milk"", ""olive oil""]"
Cranberry-Apple-Orange Salad,"[""In food processor or blender, grind cranberries, apple and orange."", ""Mix with sugar and set aside."", ""Prepare gelatin according to package directions, using 1/4 cup less of cold water."", ""Chill until it begins to thicken."", ""Add cranberry mixture and nuts."", ""Mix well."", ""Pour into a mold, if desired, or leave in a bowl and stir before serving."", ""Chill until set."", ""Can even be made a day ahead. Keeps well in refrigerator for a few days.""]","[""apple"", ""sugar"", ""cranberries"", ""orange gelatin"", ""nuts"", ""orange""]"
Brown Rice,"[""Put in a covered 1 1/2-quart dish."", ""Bake 1 hour at 350\u00b0.""]","[""onion soup"", ""beef consomme"", ""mushrooms"", ""margarine"", ""rice""]"
Cranberry Salad,"[""Mix cream cheese, margarine and sugar."", ""Add fruit and walnuts. Whip cream and fold into fruit and cream cheese mixture."", ""Pour into round mold."", ""Freeze 6 hours."", ""Remove from mold shortly before serving."", ""Makes 12 servings.""]","[""sugar"", ""cream cheese"", ""margarine"", ""walnuts"", ""cranberry sauce"", ""whipping cream"", ""pineapple""]"
Cheese Dip,"[""Dice tomatoes and peppers."", ""Combine all ingredients in top of double boiler for 30 minutes."", ""Serve hot over corn chips.""]","[""velveeta cheese"", ""onion"", ""green chili peppers"", ""italian tomatoes"", ""garlic"", ""salt""]"
Funnel Cake,"[""Sift first 5 ingredients together in a bowl."", ""Mix egg and milk together; add to dry ingredients."", ""Beat until smooth."", ""Hold finger over bottom of a funnel; pour in some batter."", ""Remove finger to let batter drop."", ""Drop batter in a spiral motion into pan filled with 1 inch of hot oil (375\u00b0)."", ""Fry until golden brown, turning once."", ""Remove from pan; drain on a paper towel."", ""Sprinkle with powdered sugar and serve hot.""]","[""oil"", ""egg"", ""baking powder"", ""sugar"", ""powdered sugar"", ""soda"", ""flour"", ""milk"", ""salt""]"
Fast Real Good Fudge,"[""In large bowl, put confectioners sugar, cocoa and chopped nuts."", ""In saucepan, put margarine and Velveeta."", ""Melt and add vanilla."", ""Pour hot mixture over sugar mixture."", ""Mix quickly and pour into buttered cookie sheet."", ""Cool and cut into squares.""]","[""vanilla"", ""nuts"", ""cocoa"", ""margarine"", ""confectioners sugar"", ""velveeta""]"
Squash Casserole,"[""Cook squash, onions and carrots until tender."", ""Mash."", ""Melt butter in pan; stir in stuffing until all is coated."", ""Drain all water from squash."", ""Stir in sour cream and soup."", ""Place in a greased baking dish a layer of squash and a layer of stuffing. Bake at 350\u00b0 for 35 minutes.""]","[""sour cream"", ""stuffing mix"", ""squash"", ""onions"", ""carrots"", ""butter"", ""chicken"", ""salt""]"
Cheese Ball,"[""Combine softened cream and Cheddar cheeses."", ""Add chopped up items."", ""Mix and add liquids last."", ""Mix well."", ""Roll into ball and cover with chopped nuts.""]","[""salt"", ""lemon juice"", ""tabasco sauce"", ""cheddar cheese"", ""onion"", ""worcestershire sauce"", ""cream cheese"", ""green pepper"", ""pimento""]"
*Apricot Salad,"[""Dissolve jello in boiling water; add sugar."", ""Blend in the cream cheese with a fork."", ""Add can of crushed pineapple and apricot baby food."", ""Refrigerate."", ""Chill can of milk."", ""When jello starts to set, take milk out of the refrigerator and beat until stiff."", ""Fold partially set jello into cream."", ""Chopped nuts can be used for garnish."", ""This is a large salad; could fill a 2-quart mold or 2 (1-quart) molds."", ""Serves about 12.""]","[""sugar"", ""jars junior baby food"", ""apricot jello"", ""cream cheese"", ""water"", ""milk"", ""pineapple""]"
Pound Cake,"[""Have all ingredients at room temperature. Hand stir all dry ingredients together. Add eggs and stir. Add butter and Crisco and stir. Add milk and stir. Put batter in"", ""mixer and beat at high speed until well blended. Add 1 to 2 teaspoons of your favorite flavoring and mix well. Pour batter into greased and floured tube pan. Place in cold oven. Bake at 325\u00b0 for 1 hour and 20 to 30 minutes.""]","[""sweet milk"", ""baking powder"", ""sugar"", ""vanilla"", ""eggs"", ""flour"", ""margarine"", ""butter"", ""salt""]"
Monkey Bread,"[""Use greased 9 x 13-inch pan or Bundt pan."", ""Melt butter; add brown sugar, pudding, milk and cinnamon."", ""Break up 1 loaf into round balls; place in pan."", ""Pour mixture over and break second loaf over this."", ""Rise 2 1/2 to 3 hours."", ""Bake 30 minutes at 350\u00b0; turn out immediately to cool.""]","[""bread"", ""brown sugar"", ""cinnamon"", ""margarine"", ""vanilla pudding"", ""milk""]"
Chicken Roll-Ups,"[""Unroll crescent rolls; add cooked chicken and grated cheese. Wrap roll over chicken and cheese; pinch sides together.""]","[""cream of chicken soup"", ""hen"", ""cheese"", ""milk"", ""crescent rolls""]"
Beef And Spanish Rice Casserole,"[""Spray a 1-quart casserole dish with Pam."", ""Layer rice and meat, diced onion and grated cheese."", ""Bake at 350\u00b0 for 25 to 30 minutes.""]","[""cheddar cheese"", ""corned beef"", ""onion"", ""spanish rice""]"
Baked Beans,"[""Cook onions and bell pepper in oil until onions are transparent."", ""Add beef and cook until brown."", ""Mix all ingredients together."", ""Bake in 350\u00b0 oven for 45 minutes, or after mixing together, pour in crock-pot and cook 6 to 10 hours on low.""]","[""oil"", ""bell pepper"", ""black pepper"", ""brown sugar"", ""catsup"", ""pork"", ""onions"", ""ground beef"", ""salt""]"
Sweet-N-Sour Chicken,"[""Saute onion in 2 tablespoons shortening."", ""Add carrots, water and bouillon cubes."", ""Simmer 5 minutes."", ""Combine next 6 ingredients."", ""Add to vegetable mixture and cook until clear."", ""Add pepper, pineapple and chicken."", ""Cover and simmer 5 minutes or until heated through."", ""Serve with rice or angel hair noodles. Serves 6 people.""]","[""vinegar"", ""ginger"", ""soy sauce"", ""shortening"", ""carrot chunks"", ""brown sugar"", ""onion"", ""water"", ""catsup"", ""cornstarch"", ""pineapple"", ""chicken"", ""green pepper""]"
Ambrosia,"[""Combine all ingredients. Chill overnight."", ""Yields 4 to 6 servings.""]","[""sugar"", ""pecans"", ""moist coconut"", ""cherries"", ""orange juice"", ""oranges""]"
Crazy Peanut Butter Cookies,"[""Mix together and roll into balls; flatten with fork."", ""Bake on ungreased cookie sheet."", ""Makes 2 dozen."", ""Quick, easy and good.""]","[""egg"", ""peanut butter"", ""sugar""]"
Brickle Bars,"[""Mix together with a fork:"", ""cake mix, 1 egg and margarine. Press into a 13 x 9-inch pan."", ""Next mix Eagle Brand milk, 1 egg, pecans and Bits 'O Brickle."", ""Pour over cake mixture."", ""Bake 30 minutes at 350\u00b0."", ""Let cool and cut into bars.""]","[""eggs"", ""pecans"", ""margarine"", ""milk"", ""yellow cake mix""]"
Pancakes,"[""Mix dry ingredients."", ""Add egg, margarine and buttermilk. Stir by hand until well blended."", ""Pour onto non-stick pan or griddle with a little oil added."", ""Cook until bubbly and turn over.""]","[""buttermilk"", ""egg"", ""sugar"", ""soda"", ""flour"", ""margarine"", ""salt""]"
Crustless Vegetable Ham Pie,"[""Preheat oven to 325\u00b0."", ""In large frying pan, melt butter and saute mushrooms, garlic, onion and zucchini until tender, approximately 2 minutes."", ""Add ham and cook 1 more minute; set aside.""]","[""shredded monterey jack"", ""salt"", ""eggs"", ""onion"", ""mushrooms"", ""frozen spinach"", ""ricotta cheese"", ""garlic"", ""butter"", ""zucchini"", ""dill weed""]"
Red Cabbage And Apples,"[""In a saucepan filled with lightly salted boiling water, cook red cabbage for 5 minutes; then drain.""]","[""vinegar"", ""brown sugar"", ""red cabbage"", ""apples"", ""butter""]"
German Potato Salad,"[""Peel and cut potatoes in thin slices."", ""Fry bacon until crisp. Remove bacon from grease and reserve 1/2 cup drippings to make dressing."", ""Blend sugar, flour, salt and pepper."", ""Stir into bacon drippings to make smooth paste."", ""Add vinegar and water."", ""Boil 2 to 3 minutes."", ""Combine sauce, potatoes and onions in skillet."", ""Turn skillet off."", ""Cover with a towel (not a lid) and let stand at room temperature 3 or 4 hours."", ""Sprinkle with bacon.""]","[""potatoes"", ""bacon"", ""sugar"", ""pepper"", ""green onions"", ""water"", ""flour"", ""cider vinegar"", ""salt""]"
Jan'S Winter Soup,"[""Saute onions and garlic in butter until onions are tender. Add meat and brown. Drain well. Add the rest of the ingredients and simmer at least one hour.""]","[""potatoes"", ""tomatoes"", ""celery"", ""frozen green beans"", ""clove garlic"", ""basil"", ""thyme"", ""onions"", ""carrots"", ""red wine"", ""ground beef"", ""beef"", ""butter"", ""salt""]"
Microwave Spice Tea,"[""Mix all ingredients together and store in airtight container. When ready to serve, heat 1 cup water in microwave until boiling. Add 3 heaping teaspoons."", ""Mix to water and stir well."", ""Great for winter cold and to get the chill out.""]","[""instant tea"", ""cinnamon"", ""sugar"", ""ground cloves""]"
Barbecue Noodle Cheese Bake,"[""Cook hamburg and crumble."", ""Add Manwich."", ""Spray Pam in baking dish."", ""Layer 1/2 of noodles, then 1/2 hamburg mixture on noodles. Put enough cheese slices on to cover meat."", ""Layer all again."", ""Bake for 1/2 hour at 350\u00b0.""]","[""american cheese"", ""noodles"", ""manwich"", ""hamburg""]"
Cutout Cookie,"[""Mix all ingredients."", ""Chill for several hours."", ""Cut out with cookie cutters."", ""Bake at 350\u00b0 for 10 minutes."", ""Frost if you want to. Makes approximately 4 dozen.""]","[""sugar"", ""vanilla"", ""baking powder"", ""shortening"", ""eggs"", ""flour"", ""butter"", ""salt""]"
Don Juan'S Sangria,"[""Squeeze the juice of lime, orange and apple in a large pitcher; add 1/2 cup sugar and fruit pieces."", ""Pour in the wine, brandy and Triple Sec and stir with a long handled spoon until well mixed."", ""Taste."", ""If you prefer the sangria sweeter, add up to 1/4 cup more sugar.""]","[""apple"", ""sugar"", ""red spanish"", ""orange"", ""triple sec"", ""club soda"", ""brandy"", ""lime""]"
Ranch Beef And Beans,"[""Combine all ingredients in large pot; simmer 30-45 minutes or until onion and bell peppers become soft."", ""This recipe triples and freezes well."", ""Serve with cornbread.""]","[""green chilies"", ""kidney beans"", ""bell pepper"", ""garlic"", ""onion"", ""butter beans"", ""mustard"", ""water"", ""beans"", ""ketchup"", ""beef bouillon"", ""hamburger"", ""honey"", ""worcestershire sauce""]"
Crisp Oatmeal Cookies,"[""Mix oats, brown sugar and oil; let stand overnight or 8 hours. Preheat oven to 325\u00b0."", ""Mix rest of ingredients into oat mixture. Drop by teaspoon onto greased baking sheet."", ""Bake 15 minutes. Cool completely before removing from baking sheet.""]","[""cooking oats"", ""salad oil"", ""brown sugar"", ""eggs"", ""almond extract"", ""salt""]"
Souper Tuna Crunch,"[""Reserve 1/2 cup Chinese noodles."", ""In 1 1/2-quart casserole, combine remaining noodles, soup, water, tuna, cashews, celery, onion and peas."", ""Bake at 350\u00b0 for 30 minutes or until hot."", ""Stir; sprinkle reserved noodles around edge."", ""Bake 5 minutes more. Serve with soy sauce."", ""Makes about 4 1/2 cups.""]","[""peas"", ""soy sauce"", ""onion"", ""water"", ""celery"", ""campbell's cream"", ""chinese noodles"", ""cashews"", ""chicken""]"
Cheese-Ham Ball,"[""Mix all ingredients."", ""Form into a ball and roll in chopped pecans."", ""Serve with assorted crackers.""]","[""pimiento"", ""cheddar cheese"", ""onion"", ""ham"", ""cream cheese"", ""parsley"", ""worcestershire sauce""]"
Cheese Ball,"[""Chop all and mix with hands."", ""Form into ball and refrigerate for 1 to 2 days."", ""Sprinkle with paprika and serve with Ritz crackers.""]","[""armour dried beef"", ""green onions"", ""mushrooms"", ""cream cheese"", ""black olives""]"
Pasta Chicken Salad(268 Calories Per Serving)  ,"[""Cook large shells according to package directions."", ""Drain and cool (rinse with cold water to cool quickly, then drain well). Combine cooled large shells with remaining ingredients and toss lightly."", ""Chill."", ""Makes 8 servings.""]","[""milk"", ""green onions"", ""fresh mushrooms"", ""italian salad dressing"", ""broccoli flowerets"", ""carrots"", ""cauliflower"", ""shells"", ""chicken"", ""salt""]"
Zucchini-Artichoke Continental,"[""In 2-quart microwave-safe casserole, microcook artichokes and water, covered, on 100% power (High) for 3 to 4 minutes or until thawed."", ""Stir."", ""Add next 3 ingredients."", ""Cover."", ""Cook on High for 9 to 11 minutes (low-wattage oven for 12 to 14 minutes) or just until tender; stir once."", ""Drain well."", ""Stir in garlic, 1/2 teaspoon salt and 1/4 teaspoon pepper."", ""Dot with margarine or butter."", ""Cover; cook on High for 1 minute."", ""Stir in tomatoes; sprinkle with cheese."", ""Let stand 2 minutes."", ""Makes 6 servings.""]","[""tomatoes"", ""frozen artichoke"", ""parmesan cheese"", ""green onion"", ""fresh mushrooms"", ""water"", ""margarine"", ""garlic"", ""zucchini""]"
Supreme Beef Casserole,"[""Melt shortening in a skillet."", ""Add beef, breaking into pieces with a fork."", ""Cook until brown."", ""Drain off fat."", ""Stir into meat the tomatoes and tomato sauce, adding salt, sugar and garlic. Simmer for 5 to 10 minutes."", ""Meanwhile, cook the noodles."", ""Drain well and with a fork blend in sour cream, cream cheese and onions.""]","[""sour cream"", ""sugar"", ""tomatoes"", ""shortening"", ""green onions"", ""egg noodles"", ""cream cheese"", ""ground chuck"", ""grated cheese"", ""tomato sauce"", ""garlic"", ""salt""]"
